	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes	substring
0	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	fine	200	282.0	82.0	100.0	+	.	GRA_OG0031352	substring_1
1	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	intron	283	533.0	251.0	0.0	+	.	GRA_OG0031352	substring_1
2	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	fine	534	651.0	117.0	100.0	+	.	GRA_OG0031352	substring_1
3	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	intron	652	1118.0	467.0	0.0	+	.	GRA_OG0031352	substring_1
4	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	fine	1119	1191.0	72.0	100.0	+	.	GRA_OG0031352	substring_1
5	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	intron	1192	1533.0	342.0	0.0	+	.	GRA_OG0031352	substring_1
6	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	fine	1534	1644.0	110.0	98.2	+	.	GRA_OG0031352	substring_1
7	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	intron	1645	2158.0	514.0	0.0	+	.	GRA_OG0031352	substring_1
8	GRA_SL+_TRINITY_DN21087_c0_g1_i1	+	fine	2159	2345.0	186.0	98.4	+	.	GRA_OG0031352	substring_1
9	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	fine	200	257.0	57.0	100.0	+	.	GRA_OG0032244	substring_1
10	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	intron	258	797.0	540.0	0.0	+	.	GRA_OG0032244	substring_1
11	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	fine	798	875.0	77.0	98.72	+	.	GRA_OG0032244	substring_1
12	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	intron	876	1216.0	341.0	0.0	+	.	GRA_OG0032244	substring_1
13	GRA_SL+_TRINITY_DN21248_c0_g1_i2	+	fine	1217	1309.0	92.0	100.0	+	.	GRA_OG0032244	substring_1
