	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes
0	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	206	293.0	88.0	98.86	+	.	GRA_OG0030309
1	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	294	425.0	132.0	0.0	+	.	GRA_OG0030309
2	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	426	482.0	57.0	100.0	+	.	GRA_OG0030309
3	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	483	1781.0	1299.0	0.0	+	.	GRA_OG0030309
4	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	1782	1833.0	52.0	100.0	+	.	GRA_OG0030309
5	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	1834	4273.0	2440.0	0.0	+	.	GRA_OG0030309
6	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	4274	4325.0	52.0	98.08	+	.	GRA_OG0030309
7	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	4326	4960.0	635.0	0.0	+	.	GRA_OG0030309
8	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	4961	5092.0	132.0	99.24	+	.	GRA_OG0030309
9	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5093	5439.0	347.0	0.0	+	.	GRA_OG0030309
10	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	5440	5593.0	154.0	99.35	+	.	GRA_OG0030309
11	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5594	5949.0	356.0	0.0	+	.	GRA_OG0030309
12	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	5950	6033.0	84.0	100.0	+	.	GRA_OG0030309
13	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	6034	7702.0	1669.0	0.0	+	.	GRA_OG0030309
14	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	7703	7769.0	67.0	100.0	+	.	GRA_OG0030309
15	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2371	2466.0	96.0	97.92	+	.	GRA_OG0030307
16	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	2467	2568.0	102.0	0.0	+	.	GRA_OG0030307
17	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2569	2713.0	145.0	100.0	+	.	GRA_OG0030307
18	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	2714	2951.0	238.0	0.0	+	.	GRA_OG0030307
19	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2952	3023.0	72.0	100.0	+	.	GRA_OG0030307
20	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	3024	3422.0	399.0	0.0	+	.	GRA_OG0030307
21	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	3423	3611.0	189.0	97.88	+	.	GRA_OG0030307
22	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	200	349.0	150.0	100.0	+	.	GRA_OG0030308
23	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	350	544.0	195.0	0.0	+	.	GRA_OG0030308
24	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	545	601.0	57.0	100.0	+	.	GRA_OG0030308
25	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	602	650.0	49.0	0.0	+	.	GRA_OG0030308
26	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	651	698.0	48.0	100.0	+	.	GRA_OG0030308
27	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	699	1564.0	866.0	0.0	+	.	GRA_OG0030308
28	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	1565	1606.0	42.0	97.62	+	.	GRA_OG0030308
29	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	1607	2079.0	473.0	0.0	+	.	GRA_OG0030308
30	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	2080	2139.0	60.0	98.33	+	.	GRA_OG0030308
31	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	2140	2419.0	280.0	0.0	+	.	GRA_OG0030308
32	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	2420	2486.0	67.0	98.51	+	.	GRA_OG0030308
33	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	2487	4077.0	1591.0	0.0	+	.	GRA_OG0030308
34	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	4078	4117.0	40.0	100.0	+	.	GRA_OG0030308
35	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	4118	4489.0	372.0	0.0	+	.	GRA_OG0030308
36	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	4490	4558.0	69.0	98.55	+	.	GRA_OG0030308
37	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	4559	5833.0	1275.0	0.0	+	.	GRA_OG0030308
38	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	5834	5908.0	75.0	100.0	+	.	GRA_OG0030308
39	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	5909	6105.0	197.0	0.0	+	.	GRA_OG0030308
40	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	6106	6169.0	64.0	100.0	+	.	GRA_OG0030308
41	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	6170	6719.0	550.0	0.0	+	.	GRA_OG0030308
42	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	6720	6761.0	42.0	100.0	+	.	GRA_OG0030308
43	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	6762	6901.0	140.0	0.0	+	.	GRA_OG0030308
44	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	6902	6964.0	63.0	100.0	+	.	GRA_OG0030308
45	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	6965	7274.0	310.0	0.0	+	.	GRA_OG0030308
46	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	7275	7379.0	105.0	99.05	+	.	GRA_OG0030308
47	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	7380	8027.0	648.0	0.0	+	.	GRA_OG0030308
48	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	8028	8155.0	128.0	98.44	+	.	GRA_OG0030308
49	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	8156	8840.0	685.0	0.0	+	.	GRA_OG0030308
