	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes
149	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	206	293.0	88	97.75	+	.	GRA_OG0030309
149	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	294	4960.0	88	97.75	+	.	GRA_OG0030309
153	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	4961	5092.0	132	97.74	+	.	GRA_OG0030309
153	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5093	5439.0	132	97.74	+	.	GRA_OG0030309
154	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	5440	5593.0	154	98.06	+	.	GRA_OG0030309
154	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5594	5949.0	154	98.06	+	.	GRA_OG0030309
155	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	5950	6033.0	84	97.65	+	.	GRA_OG0030309
155	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	6034	7702.0	84	97.65	+	.	GRA_OG0030309
156	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	7703	7769.0	67	97.06	+	.	GRA_OG0030309
67	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2569	2713.0	145	98.63	+	.	GRA_OG0030307
67	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	2714	2951.0	145	98.63	+	.	GRA_OG0030307
68	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2952	3023.0	72	97.26	+	.	GRA_OG0030307
71	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	200	349.0	150	98.68	+	.	GRA_OG0030308
71	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	350	5833.0	150	98.68	+	.	GRA_OG0030308
80	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	5834	5908.0	75	97.37	+	.	GRA_OG0030308
80	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	5909	7274.0	75	97.37	+	.	GRA_OG0030308
84	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	7275	7379.0	105	97.17	+	.	GRA_OG0030308
84	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	7380	9790.0	105	97.17	+	.	GRA_OG0030308
87	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	9791	9962.0	172	98.84	+	.	GRA_OG0030308
87	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	9963	10341.0	172	98.84	+	.	GRA_OG0030308
88	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	10342	10408.0	67	97.06	+	.	GRA_OG0030308
88	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	10409	11838.0	67	97.06	+	.	GRA_OG0030308
90	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	11839	11967.0	129	98.46	+	.	GRA_OG0030308
90	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	11968	13882.0	129	98.46	+	.	GRA_OG0030308
92	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	13883	13983.0	101	97.06	+	.	GRA_OG0030308
92	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	13984	15297.0	101	97.06	+	.	GRA_OG0030308
94	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	15298	15377.0	80	97.53	+	.	GRA_OG0030308
94	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	15378	16809.0	80	97.53	+	.	GRA_OG0030308
96	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	16810	16879.0	70	97.18	+	.	GRA_OG0030308
96	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	16880	17622.0	70	97.18	+	.	GRA_OG0030308
98	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	17623	17718.0	96	97.94	+	.	GRA_OG0030308
