	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes
153	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	4961	5092.0	132	97.74	+	.	GRA_OG0030309
153	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5093	5439.0	132	97.74	+	.	GRA_OG0030309
154	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	5440	5593.0	154	98.06	+	.	GRA_OG0030309
154	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	5594	8909.0	154	98.06	+	.	GRA_OG0030309
157	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	fine	8910	9073.0	164	92.12	+	.	GRA_OG0030309
67	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	2569	2713.0	145	98.63	+	.	GRA_OG0030307
67	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	2714	3422.0	145	98.63	+	.	GRA_OG0030307
69	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	fine	3423	3611.0	189	96.84	+	.	GRA_OG0030307
71	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	200	349.0	150	98.68	+	.	GRA_OG0030308
71	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	350	7274.0	150	98.68	+	.	GRA_OG0030308
84	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	7275	7379.0	105	97.17	+	.	GRA_OG0030308
84	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	7380	8027.0	105	97.17	+	.	GRA_OG0030308
85	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	8028	8155.0	128	96.9	+	.	GRA_OG0030308
85	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	8156	9790.0	128	96.9	+	.	GRA_OG0030308
87	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	9791	9962.0	172	98.84	+	.	GRA_OG0030308
87	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	9963	11838.0	172	98.84	+	.	GRA_OG0030308
90	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	11839	11967.0	129	98.46	+	.	GRA_OG0030308
90	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	11968	13882.0	129	98.46	+	.	GRA_OG0030308
92	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	13883	13983.0	101	97.06	+	.	GRA_OG0030308
92	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	intron	13984	18106.0	101	97.06	+	.	GRA_OG0030308
99	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	fine	18107	18426.0	320	99.07	+	.	GRA_OG0030308
12	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	200	368.0	169	98.82	+	.	HIE_OG0030307
12	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	intron	369	999.0	169	98.82	+	.	HIE_OG0030307
13	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	1000	1106.0	107	98.15	+	.	HIE_OG0030307
13	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	intron	1107	1279.0	107	98.15	+	.	HIE_OG0030307
14	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	1280	1391.0	112	98.23	+	.	HIE_OG0030307
14	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	intron	1392	2327.0	112	98.23	+	.	HIE_OG0030307
16	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	2328	2481.0	154	98.71	+	.	HIE_OG0030307
16	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	intron	2482	3209.0	154	98.71	+	.	HIE_OG0030307
18	HIE_SL+_TRINITY_DN44987_c1_g4_i1	TRINITY	fine	3210	3342.0	133	98.51	+	.	HIE_OG0030307
