seqid	source	exon_type	start	end	length	homology	GC	strand	phase	attributes	substring
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2371	2466	96	97.92	66.67	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	2467	2568	102	0.0	79.41	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2569	2713	145	100.0	72.41	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	2714	2951	238	0.0	62.61	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2952	3023	72	100.0	77.78	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	3024	3422	399	0.0	49.87	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	3423	3611	189	97.88	74.07	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	200	349	150	100.0	65.33	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	350	544	195	0.0	50.77	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	545	601	57	100.0	50.88	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	602	650	49	0.0	59.18	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	651	698	48	100.0	50.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	699	1177	479	0.0	48.23	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	1178	1237	60	96.67	60.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	1238	1564	327	0.0	35.47	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	1565	1606	42	97.62	47.62	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	1607	2079	473	0.0	47.99	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	2080	2139	60	98.33	53.33	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	2140	2419	280	0.0	41.07	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	2420	2486	67	98.51	58.21	+	.	GRA_OG0030308	substring_1
