	seqid	source	exon_type	start	end	length	homology	strand	phase	attributes
0	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	7	117.0	111.0	62.16	+	.	GRA_OG0030309
1	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	118	157.0	40.0	0.0	+	.	GRA_OG0030309
2	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	158	193.0	36.0	55.56	+	.	GRA_OG0030309
3	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	194	8909.0	8716.0	0.0	+	.	GRA_OG0030309
4	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	8910	9073.0	164.0	93.29	+	.	GRA_OG0030309
5	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	9074	9741.0	668.0	0.0	+	.	GRA_OG0030309
6	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	9742	9797.0	56.0	71.43	+	.	GRA_OG0030309
7	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	9798	10000.0	203.0	0.0	+	.	GRA_OG0030309
8	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	10001	10072.0	72.0	68.06	+	.	GRA_OG0030309
9	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	10073	10183.0	111.0	0.0	+	.	GRA_OG0030309
10	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	10184	10241.0	58.0	70.69	+	.	GRA_OG0030309
11	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	intron	10242	10865.0	624.0	0.0	+	.	GRA_OG0030309
12	GRA_SL+_TRINITY_DN42647_c0_g1_i3	TRINITY	TLH	10866	10898.0	33.0	57.58	+	.	GRA_OG0030309
13	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	46	91.0	46.0	65.22	+	.	GRA_OG0030307
14	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	92	185.0	94.0	0.0	+	.	GRA_OG0030307
15	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	186	227.0	42.0	61.9	+	.	GRA_OG0030307
16	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	228	486.0	259.0	0.0	+	.	GRA_OG0030307
17	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	487	590.0	104.0	62.5	+	.	GRA_OG0030307
18	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	591	666.0	76.0	0.0	+	.	GRA_OG0030307
19	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	667	744.0	78.0	61.54	+	.	GRA_OG0030307
20	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	745	1083.0	339.0	0.0	+	.	GRA_OG0030307
21	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	1084	1115.0	32.0	68.75	+	.	GRA_OG0030307
22	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	intron	1116	1473.0	358.0	0.0	+	.	GRA_OG0030307
23	GRA_SL+_TRINITY_DN42854_c0_g2_i2	TRINITY	TLH	1474	1513.0	40.0	65.0	+	.	GRA_OG0030307
24	GRA_SL+_TRINITY_DN44436_c0_g1_i1	TRINITY	TLH	1178	1237.0	60.0	96.67	+	.	GRA_OG0030308
25	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	TLH	1773	1852.0	80.0	90.0	+	.	HIE_OG0030308
26	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	intron	1853	2103.0	251.0	0.0	+	.	HIE_OG0030308
27	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	TLH	2104	2135.0	32.0	62.5	+	.	HIE_OG0030308
28	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	intron	2136	2172.0	37.0	0.0	+	.	HIE_OG0030308
29	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	TLH	2173	2213.0	41.0	65.85	+	.	HIE_OG0030308
30	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	intron	2214	2259.0	46.0	0.0	+	.	HIE_OG0030308
31	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	TLH	2260	2304.0	45.0	60.0	+	.	HIE_OG0030308
32	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	intron	2305	2415.0	111.0	0.0	+	.	HIE_OG0030308
33	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	TLH	2416	2454.0	39.0	69.23	+	.	HIE_OG0030308
34	HIE_SL+_TRINITY_DN47597_c0_g1_i1	TRINITY	intron	2455	2954.0	500.0	0.0	+	.	HIE_OG0030308
