seqid	source	exon_type	start	end	length	homology	strand	phase	attributes	substring
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2371	2466	95	97.92	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	2467	2568	101	0	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2569	2713	144	100.0	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	2714	2951	237	0	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	2952	3023	71	100.0	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	intron	3024	3422	398	0	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN42854_c0_g2_i2	+	fine	3423	3611	188	97.88	+	.	GRA_OG0030307	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	200	349	149	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	350	544	194	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	545	601	56	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	602	650	48	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	651	698	47	100.0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	699	1177	478	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	1178	1237	59	96.67	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	1238	1564	326	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	1565	1606	41	97.62	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	1607	2079	472	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	2080	2139	59	98.33	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	2140	2419	279	0	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	fine	2420	2486	66	98.51	+	.	GRA_OG0030308	substring_1
GRA_SL+_TRINITY_DN44436_c0_g1_i1	+	intron	2487	4077	1590	0	+	.	GRA_OG0030308	substring_1
